event_id,tickers,primary_ticker,title,event_type,market_scope,news_count,avg_impact_score,confidence,materiality_score,signal_direction,signal_strength,reason,url,priority_score,priority_reason
2ee3716c4928,YYLGD,YYLGD,YAYLA AGRO GIDA SANAYİ VE TİCARET A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.819,0.8612,0.7127,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1648781,68,aksiyon=detay kontrol et; guc=orta; onem=0.71; gecmis=gecmis veri az
ae6908f1879b,ARSAN,ARSAN,ARSAN HOLDİNG A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.8547,0.8973,0.7396,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1648782,67,aksiyon=detay kontrol et; guc=orta; onem=0.74; gecmis=gecmise gore olagan
3d9a88c3c75e,ENERY,ENERY,ENERYA ENERJİ A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.8495,0.896,0.7365,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1648785,67,aksiyon=detay kontrol et; guc=orta; onem=0.74; gecmis=gecmise gore olagan
c69c9761235e,TRALT,TRALT,TÜRK ALTIN İŞLETMELERİ A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.8436,0.8919,0.7324,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1648783,67,aksiyon=detay kontrol et; guc=orta; onem=0.73; gecmis=gecmise gore olagan
8a164a0c328b,CWENE,CWENE,CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş. - Yeni İş İlişkisi,contract_order,stock_specific,1,0.7706,0.8208,0.748,positive,medium,positive; medium; contract_order; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1648416,66,aksiyon=detay kontrol et; guc=orta; onem=0.75; gecmis=gecmise gore olagan
4daab7f35647,AHGAZ,AHGAZ,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.8209,0.8709,0.7157,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1648784,66,aksiyon=detay kontrol et; guc=orta; onem=0.72; gecmis=gecmise gore olagan
805e1e171da7,EDATA,EDATA,E-DATA TEKNOLOJİ PAZARLAMA A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,other,stock_specific,1,0.7662,0.8715,0.6857,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1648440,65,aksiyon=detay kontrol et; guc=orta; onem=0.69; gecmis=gecmis veri az
b8efe63674c1,EDATA,EDATA,E-DATA TEKNOLOJİ PAZARLAMA A.Ş. - Kayıtlı Sermaye Tavanı İşlemlerine İlişkin Bildirim,capital_action,stock_specific,1,0.4314,0.5461,0.5265,positive,medium,positive; medium; capital_action; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1648442,51,aksiyon=detay kontrol et; guc=orta; onem=0.53; gecmis=gecmis veri az
ca2b56851a86,GOODY,GOODY,GOODYEAR LASTİKLERİ T.A.Ş. - Kayıtlı Sermaye Tavanı İşlemlerine İlişkin Bildirim,capital_action,stock_specific,1,0.4664,0.5863,0.5538,positive,medium,positive; medium; capital_action; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1648736,50,aksiyon=detay kontrol et; guc=orta; onem=0.55; gecmis=gecmise gore olagan
566b1a380d36,"ISMEN,IYM",ISMEN,İŞ YATIRIM MENKUL DEĞERLER A.Ş. - Özel Durum Açıklaması (Genel),other,multi_stock,2,-0.2055,0.3039,0.3592,negative,weak,negative; weak; other; multi_stock; 2 haber,https://www.kap.org.tr/tr/Bildirim/1648421,25,aksiyon=zayif sinyal; guc=zayif; onem=0.36; gecmis=gecmise gore olagan
