event_id,tickers,primary_ticker,title,event_type,market_scope,news_count,avg_impact_score,confidence,materiality_score,signal_direction,signal_strength,reason,url,priority_score,priority_reason
b706d4ffeb09,ARSAN,ARSAN,ARSAN HOLDİNG A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.8449,0.8904,0.7328,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1636634,75,aksiyon=detay kontrol et; guc=orta; onem=0.73; gecmis=gecmise gore dikkat cekici
ac091fe3b745,TRALT,TRALT,TÜRK ALTIN İŞLETMELERİ A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.8421,0.8909,0.7313,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1636618,67,aksiyon=detay kontrol et; guc=orta; onem=0.73; gecmis=gecmise gore olagan
ac5abb181b2b,BOSSA,BOSSA,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.7677,0.8217,0.6766,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1636403,63,aksiyon=detay kontrol et; guc=orta; onem=0.68; gecmis=gecmise gore olagan
7e96a1eec41f,SANKO,SANKO,SANKO PAZARLAMA İTHALAT İHRACAT A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,other,stock_specific,1,0.6618,0.8095,0.6159,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1636540,60,aksiyon=detay kontrol et; guc=orta; onem=0.62; gecmis=gecmis veri az
b7208a9251f4,UMPAS,UMPAS,UMPAŞ HOLDİNG A.Ş. - Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim,capital_action,stock_specific,1,0.5332,0.64,0.6012,positive,medium,positive; medium; capital_action; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1636371,56,aksiyon=detay kontrol et; guc=orta; onem=0.60; gecmis=gecmis veri az
6a43e5102a82,DERIM,DERIM,DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİCARET A.Ş. - Kayıtlı Sermaye Tavanı İşlemlerine İlişkin Bildirim,capital_action,stock_specific,1,0.4537,0.523,0.5341,positive,medium,positive; medium; capital_action; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1636525,51,aksiyon=detay kontrol et; guc=orta; onem=0.53; gecmis=gecmis veri az
5349df2d2666,ALKA,ALKA,ALKİM KAĞIT SANAYİ VE TİCARET A.Ş. - Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim,capital_action,stock_specific,1,0.4221,0.5356,0.5193,positive,medium,positive; medium; capital_action; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1636384,50,aksiyon=detay kontrol et; guc=orta; onem=0.52; gecmis=gecmis veri az
64bd8ae4f4bf,"TERA,TRA",TERA,TERA YATIRIM MENKUL DEĞERLER A.Ş. - Özel Durum Açıklaması (Genel),other,multi_stock,2,-0.2164,0.334,0.3713,negative,weak,negative; weak; other; multi_stock; 2 haber,https://www.kap.org.tr/tr/Bildirim/1636621,42,aksiyon=detay kontrol et; guc=zayif; onem=0.37; gecmis=gecmise gore sira disi
0fb88e016e5b,ENERY,ENERY,ENERYA ENERJİ A.Ş. - Özel Durum Açıklaması (Genel),other,stock_specific,1,-0.2863,0.4144,0.3303,negative,weak,negative; weak; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1636369,42,aksiyon=detay kontrol et; guc=zayif; onem=0.33; gecmis=gecmise gore sira disi
eec1d4863ac0,BINHO,BINHO,1000 YATIRIMLAR HOLDİNG A.Ş. - Özel Durum Açıklaması (Genel),management,stock_specific,1,-0.228,0.3481,0.305,negative,weak,negative; weak; management; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1636471,24,aksiyon=zayif sinyal; guc=zayif; onem=0.30; gecmis=gecmise gore olagan
