event_id,tickers,primary_ticker,title,event_type,market_scope,news_count,avg_impact_score,confidence,materiality_score,signal_direction,signal_strength,reason,url,priority_score,priority_reason
c3298a5b4299,TTKOM,TTKOM,TÜRK TELEKOMÜNİKASYON A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.8277,0.8839,0.722,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1662167,77,aksiyon=detay kontrol et; guc=orta; onem=0.72; gecmis=gecmise gore sira disi
2ed9e5150e55,TTKOM,TTKOM,TÜRK TELEKOMÜNİKASYON A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.8154,0.8739,0.7132,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1662143,77,aksiyon=detay kontrol et; guc=orta; onem=0.71; gecmis=gecmise gore sira disi
3d1d0086f866,SAFKR,SAFKR,SAFKAR EGE SOĞUTMACILIK KLİMA SOĞUK HAVA TESİSLERİ İHRACAT İTHALAT SANAYİ VE TİCARET A.Ş. - İhale Süreci / Sonucu,contract_order,stock_specific,1,0.6668,0.7385,0.6744,positive,medium,positive; medium; contract_order; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1662380,71,aksiyon=detay kontrol et; guc=orta; onem=0.67; gecmis=gecmise gore sira disi
e723ceb76122,GRSEL,GRSEL,GÜR-SEL TURİZM TAŞIMACILIK VE SERVİS TİCARET A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,management,stock_specific,1,0.7771,0.8407,0.7055,positive,medium,positive; medium; management; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1662492,66,aksiyon=detay kontrol et; guc=orta; onem=0.71; gecmis=gecmis veri az
04b2b5eaa8db,MCARD,MCARD,METROPAL KURUMSAL HİZMETLER A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,management,stock_specific,1,0.5153,0.7219,0.5378,positive,medium,positive; medium; management; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1662449,62,aksiyon=detay kontrol et; guc=orta; onem=0.54; gecmis=gecmise gore sira disi
ab77ae6f0a9c,KLYPV,KLYPV,KALYON GÜNEŞ TEKNOLOJİLERİ ÜRETİM A.Ş. - Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim,capital_action,stock_specific,1,0.4565,0.5801,0.5471,positive,medium,positive; medium; capital_action; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1662316,50,aksiyon=detay kontrol et; guc=orta; onem=0.55; gecmis=gecmise gore olagan
982264a2f24b,PGSUS,PGSUS,PEGASUS HAVA TAŞIMACILIĞI A.Ş. - Özel Durum Açıklaması (Genel),other,stock_specific,1,-0.2375,0.3628,0.2932,negative,weak,negative; weak; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1662585,36,aksiyon=detay kontrol et; guc=zayif; onem=0.29; gecmis=gecmise gore dikkat cekici
5f85ba3d74bf,"A1CAP,ACP",A1CAP,A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş. - Özel Durum Açıklaması (Genel),other,multi_stock,2,-0.2057,0.3063,0.3599,negative,weak,negative; weak; other; multi_stock; 2 haber,https://www.kap.org.tr/tr/Bildirim/1662571,25,aksiyon=zayif sinyal; guc=zayif; onem=0.36; gecmis=gecmise gore olagan
96c23b85fd14,HRKET,HRKET,HAREKET PROJE TAŞIMACILIĞI VE YÜK MÜHENDİSLİĞİ A.Ş. - Özel Durum Açıklaması (Genel),other,stock_specific,1,-0.2297,0.3759,0.2915,negative,weak,negative; weak; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1662326,23,aksiyon=zayif sinyal; guc=zayif; onem=0.29; gecmis=gecmise gore olagan
7b8fe43eec52,INGRM,INGRM,INGRAM MİCRO BİLİŞİM SİSTEMLERİ A.Ş. - Özel Durum Açıklaması (Genel),other,stock_specific,1,-0.2174,0.3743,0.2844,negative,weak,negative; weak; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1662494,23,aksiyon=zayif sinyal; guc=zayif; onem=0.28; gecmis=gecmise gore olagan
