event_id,tickers,primary_ticker,title,event_type,market_scope,news_count,avg_impact_score,confidence,materiality_score,signal_direction,signal_strength,reason,url,priority_score,priority_reason
7c8e454a1ca5,MAGEN,MAGEN,MARGÜN ENERJİ ÜRETİM SANAYİ VE TİCARET A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.8146,0.8581,0.7096,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1616805,67,aksiyon=detay kontrol et; guc=orta; onem=0.71; gecmis=gecmis veri az
92b63c231bc2,BRKSN,BRKSN,BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,other,stock_specific,1,0.7844,0.8718,0.6958,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1616731,66,aksiyon=detay kontrol et; guc=orta; onem=0.70; gecmis=gecmis veri az
b1fac5ce2b01,MAGEN,MAGEN,MARGÜN ENERJİ ÜRETİM SANAYİ VE TİCARET A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.7558,0.8125,0.6682,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1616623,64,aksiyon=detay kontrol et; guc=orta; onem=0.67; gecmis=gecmis veri az
6545d93f4560,ANGEN,ANGEN,ANATOLİA TANI VE BİYOTEKNOLOJİ ÜRÜNLERİ ARAŞTIRMA GELİŞTİRME SANAYİ VE TİCARET A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,other,stock_specific,1,0.735,0.8268,0.6596,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1616898,64,aksiyon=detay kontrol et; guc=orta; onem=0.66; gecmis=gecmis veri az
2d7526eb8b90,TURSG,TURSG,TÜRKİYE SİGORTA A.Ş. - Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim,capital_action,stock_specific,1,0.5355,0.6578,0.6061,positive,medium,positive; medium; capital_action; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1616567,56,aksiyon=detay kontrol et; guc=orta; onem=0.61; gecmis=gecmis veri az
f77892fdf131,DERHL,DERHL,DERLÜKS YATIRIM HOLDİNG A.Ş. - Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim,legal_regulatory,stock_specific,1,0.5062,0.6023,0.5889,positive,medium,positive; medium; legal_regulatory; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1616674,55,aksiyon=detay kontrol et; guc=orta; onem=0.59; gecmis=gecmis veri az
b21591eae0c4,FRIGO,FRIGO,FRİGO-PAK GIDA MADDELERİ SANAYİ VE TİCARET A.Ş. - Kayıtlı Sermaye Tavanı İşlemlerine İlişkin Bildirim,capital_action,stock_specific,1,0.5063,0.5854,0.5755,positive,medium,positive; medium; capital_action; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1616687,54,aksiyon=detay kontrol et; guc=orta; onem=0.58; gecmis=gecmis veri az
f93e71069907,"KLN,KLNMA",KLN,TÜRKİYE KALKINMA VE YATIRIM BANKASI A.Ş. - Kayıtlı Sermaye Tavanı İşlemlerine İlişkin Bildirim,capital_action,multi_stock,2,0.4118,0.4972,0.6014,positive,medium,positive; medium; capital_action; multi_stock; 2 haber,https://www.kap.org.tr/tr/Bildirim/1616679,53,aksiyon=detay kontrol et; guc=orta; onem=0.60; gecmis=gecmis veri az
2283300a7440,BUCIM,BUCIM,BURSA ÇİMENTO FABRİKASI A.Ş. - Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim,capital_action,stock_specific,1,0.3563,0.5482,0.4856,positive,weak,positive; weak; capital_action; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1616554,38,aksiyon=gecmis veri yetersiz; guc=zayif; onem=0.49; gecmis=gecmis veri az
ea1c9a2f51b3,BANVT,BANVT,BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİ A.Ş. - Özel Durum Açıklaması (Genel),legal_regulatory,stock_specific,1,-0.2749,0.3999,0.4212,negative,weak,negative; weak; legal_regulatory; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1616666,33,aksiyon=gecmis veri yetersiz; guc=zayif; onem=0.42; gecmis=gecmis veri az
