date,ticker,source,title,text,url,language,published_at,prob_negative,prob_neutral,prob_positive,prediction,sentiment_score,confidence,impact_score
2026-07-10,TRALT,KAP,TÜRK ALTIN İŞLETMELERİ A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,TÜRK ALTIN İŞLETMELERİ A.Ş. - Payların Geri Alınmasına İlişkin Bildirim. Payların Geri Alınmasına İlişkin Bildirim 10.07.2026 Tarihli Pay Geri Alım İşlemleri Hk.,https://www.kap.org.tr/tr/Bildirim/1632030,tr,2026-07-10T18:23:52+00:00,0.0449679434894693,0.0546147884892921,0.9004172680212384,positive,0.855449324531769,0.9004172680212384,0.8554493245317691
2026-07-10,ARSAN,KAP,ARSAN HOLDİNG A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,ARSAN HOLDİNG A.Ş. - Payların Geri Alınmasına İlişkin Bildirim. Payların Geri Alınmasına İlişkin Bildirim Payların Geri Alınmasına İlişkin Bildirim.,https://www.kap.org.tr/tr/Bildirim/1632033,tr,2026-07-10T18:29:19+00:00,0.0487306441803291,0.0784805503487163,0.8727888054709545,positive,0.8240581612906254,0.8727888054709545,0.8240581612906254
2026-07-10,ASELS,KAP,ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş. - Yeni İş İlişkisi,ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş. - Yeni İş İlişkisi. Yeni İş İlişkisi Sözleşme İmzalanması,https://www.kap.org.tr/tr/Bildirim/1631439,tr,2026-07-10T10:53:35+00:00,0.0398901562664652,0.1226231964553332,0.8374866472782014,positive,0.7975964910117361,0.8374866472782014,0.7975964910117362
2026-07-10,IHLAS,KAP,İHLAS HOLDİNG A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,İHLAS HOLDİNG A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim. Kar Payı Dağıtım İşlemlerine İlişkin Bildirim 2025 Yılı Kar Payı Dağıtımına İlişkin Genel Kurul Kararı Hk.,https://www.kap.org.tr/tr/Bildirim/1631520,tr,2026-07-10T12:28:49+00:00,0.0889815030797321,0.0378729842467227,0.8731455126735452,positive,0.7841640095938132,0.8731455126735452,0.7841640095938132
2026-07-10,YEOTK,KAP,YEO TEKNOLOJİ ENERJİ VE ENDÜSTRİ A.Ş. - Yeni İş İlişkisi,YEO TEKNOLOJİ ENERJİ VE ENDÜSTRİ A.Ş. - Yeni İş İlişkisi. Yeni İş İlişkisi Yeni iş ilişkisi.,https://www.kap.org.tr/tr/Bildirim/1631374,tr,2026-07-10T09:00:51+00:00,0.0677243757886666,0.0998369879937288,0.8324386362176046,positive,0.764714260428938,0.8324386362176046,0.764714260428938
2026-07-10,ENDAE,KAP,ENDA ENERJİ HOLDİNG A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,ENDA ENERJİ HOLDİNG A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim. Kar Payı Dağıtım İşlemlerine İlişkin Bildirim Kar Payı Dağıtımına İlişkin Genel Kurul Kararı,https://www.kap.org.tr/tr/Bildirim/1631865,tr,2026-07-10T17:32:16+00:00,0.107103668281533,0.0344712518057516,0.8584250799127153,positive,0.7513214116311824,0.8584250799127153,0.7513214116311824
2026-07-10,PCILT,KAP,PC İLETİŞİM VE MEDYA HİZMETLERİ SANAYİ TİCARET A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,PC İLETİŞİM VE MEDYA HİZMETLERİ SANAYİ TİCARET A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim. Kar Payı Dağıtım İşlemlerine İlişkin Bildirim Kâr Payı Dağıtımına İlişkin Yönetim Kurulu Kararı,https://www.kap.org.tr/tr/Bildirim/1631945,tr,2026-07-10T17:50:58+00:00,0.1031080287023187,0.0667350258818,0.8301569454158811,positive,0.7270489167135624,0.8301569454158811,0.7270489167135624
2026-07-10,FORTE,KAP,FORTE BİLGİ İLETİŞİM TEKNOLOJİLERİ VE SAVUNMA SANAYİ A.Ş. - Yeni İş İlişkisi,FORTE BİLGİ İLETİŞİM TEKNOLOJİLERİ VE SAVUNMA SANAYİ A.Ş. - Yeni İş İlişkisi. Yeni İş İlişkisi Yeni sözleşme imzalanması,https://www.kap.org.tr/tr/Bildirim/1631395,tr,2026-07-10T09:25:12+00:00,0.0792650749996058,0.1379867481546059,0.7827481768457881,positive,0.7034831018461823,0.7827481768457881,0.7034831018461823
2026-07-10,ONCSM,KAP,ONCOSEM ONKOLOJİK SİSTEMLER SANAYİ VE TİCARET A.Ş. - İhale Süreci / Sonucu,ONCOSEM ONKOLOJİK SİSTEMLER SANAYİ VE TİCARET A.Ş. - İhale Süreci / Sonucu. İhale Süreci / Sonucu İhale Katılımı ve Sonucu Hk. Ankara Etlik Şehir Hastanesi,https://www.kap.org.tr/tr/Bildirim/1631400,tr,2026-07-10T09:30:07+00:00,0.0666279041893815,0.1726286518762401,0.7607434439343782,positive,0.6941155397449966,0.7607434439343782,0.6941155397449967
2026-07-10,GOODY,KAP,GOODYEAR LASTİKLERİ T.A.Ş. - Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim,GOODYEAR LASTİKLERİ T.A.Ş. - Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim. Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim Bedelsiz Sermaye Artırımına İlişkin Esas Sözleşme Değişikliğinin Tescili,https://www.kap.org.tr/tr/Bildirim/1631824,tr,2026-07-10T17:04:07+00:00,0.0745063677403199,0.173721678351895,0.751771953907785,positive,0.677265586167465,0.751771953907785,0.677265586167465
