date,ticker,source,title,text,url,language,published_at,prob_negative,prob_neutral,prob_positive,prediction,sentiment_score
2026-05-31,EKIZ,KAP,EKİZ KİMYA SANAYİ VE TİCARET A.Ş. - Özel Durum Açıklaması (Genel),EKİZ KİMYA SANAYİ VE TİCARET A.Ş. - Özel Durum Açıklaması (Genel). Özel Durum Açıklaması (Genel) Banka İle Yapılan Protokol Süresinin Uzatılması Hakkında,https://www.kap.org.tr/tr/Bildirim/1611279,tr,2026-05-31T22:10:25+00:00,0.2510284023779294,0.6071368275247674,0.1418347700973032,neutral,-0.1091936322806262
2026-06-01,AEFES,KAP,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş. - Şirket Genel Bilgi Formu,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş. - Şirket Genel Bilgi Formu. Şirket Genel Bilgi Formu,https://www.kap.org.tr/tr/Bildirim/1611685,tr,2026-06-01T19:13:11+00:00,0.1279899772463064,0.7552263175089783,0.1167837052447152,neutral,-0.0112062720015912
2026-06-01,AFYON,KAP,AFYON ÇİMENTO SANAYİ T.A.Ş. - Şirket Genel Bilgi Formu,AFYON ÇİMENTO SANAYİ T.A.Ş. - Şirket Genel Bilgi Formu. Şirket Genel Bilgi Formu,https://www.kap.org.tr/tr/Bildirim/1611709,tr,2026-06-01T20:28:07+00:00,0.128241916481599,0.755651968224621,0.1161061152937799,neutral,-0.0121358011878191
2026-06-01,AFYON,KAP,AFYON ÇİMENTO SANAYİ T.A.Ş. - Kurumsal Yönetim Bilgi Formu (Güncelleme) - Yönetim Kurulu-1,AFYON ÇİMENTO SANAYİ T.A.Ş. - Kurumsal Yönetim Bilgi Formu (Güncelleme) - Yönetim Kurulu-1. Kurumsal Yönetim Bilgi Formu (Güncelleme) - Yönetim Kurulu-1 Yönetim Kurulu I Bilgi Formu Güncelleme,https://www.kap.org.tr/tr/Bildirim/1611710,tr,2026-06-01T20:28:16+00:00,0.1875020663919197,0.6350075791077707,0.1774903545003096,neutral,-0.01001171189161
2026-06-01,AGESA,KAP,AGESA HAYAT VE EMEKLİLİK A.Ş. - Özel Durum Açıklaması (Genel),AGESA HAYAT VE EMEKLİLİK A.Ş. - Özel Durum Açıklaması (Genel). Özel Durum Açıklaması (Genel) Genel Müdür Yardımcısı Ataması AKGRT,https://www.kap.org.tr/tr/Bildirim/1611413,tr,2026-06-01T14:42:07+00:00,0.3399607794321356,0.5339814825353338,0.1260577380325305,neutral,-0.2139030413996051
2026-06-01,AHGAZ,KAP,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş. - Payların Geri Alınmasına İlişkin Bildirim. Payların Geri Alınmasına İlişkin Bildirim 01.06.2026 Tarihli Pay Geri Alım İşlemleri,https://www.kap.org.tr/tr/Bildirim/1611665,tr,2026-06-01T18:30:16+00:00,0.0526718323421769,0.0863036193085866,0.8610245483492366,positive,0.8083527160070597
2026-06-01,AKBNK,KAP,AKBANK T.A.Ş. - Özel Durum Açıklaması (Genel),AKBANK T.A.Ş. - Özel Durum Açıklaması (Genel). Özel Durum Açıklaması (Genel) Yurtdışı Piyasalara Sermaye Benzeri (Basel III uyumlu) Tahvil İhracı,https://www.kap.org.tr/tr/Bildirim/1611351,tr,2026-06-01T11:02:35+00:00,0.2895106416000874,0.561083613454781,0.1494057449451315,neutral,-0.1401048966549558
2026-06-01,AKBNK,KAP,AKBANK T.A.Ş. - Pay Dışında Sermaye Piyasası Aracı İşlemlerine İlişkin Bildirim (Faiz İçeren),AKBANK T.A.Ş. - Pay Dışında Sermaye Piyasası Aracı İşlemlerine İlişkin Bildirim (Faiz İçeren). Pay Dışında Sermaye Piyasası Aracı İşlemlerine İlişkin Bildirim (Faiz İçeren) Yurtdışı Piyasalara Tahvil İhracı,https://www.kap.org.tr/tr/Bildirim/1611586,tr,2026-06-01T17:41:42+00:00,0.0447196611258424,0.8960095252952823,0.0592708135788751,neutral,0.0145511524530327
2026-06-01,AKFGY,KAP,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş. - Bağımsız Denetim Kuruluşunun Belirlenmesi,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş. - Bağımsız Denetim Kuruluşunun Belirlenmesi. Bağımsız Denetim Kuruluşunun Belirlenmesi Bağımsız denetim kuruluşu seçiminin tescili ve TTSG'de ilanı,https://www.kap.org.tr/tr/Bildirim/1611457,tr,2026-06-01T16:16:06+00:00,0.0554897013266676,0.8777986862203114,0.0667116124530209,neutral,0.0112219111263532
2026-06-01,AKFGY,KAP,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş. - Genel Kurul İşlemlerine İlişkin Bildirim,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş. - Genel Kurul İşlemlerine İlişkin Bildirim. Genel Kurul İşlemlerine İlişkin Bildirim 2025 Yılı Olağan Genel Kurul Toplantısı Tescil İşlemi,https://www.kap.org.tr/tr/Bildirim/1611460,tr,2026-06-01T16:17:50+00:00,0.1206019852469053,0.8176267321904841,0.0617712825626104,neutral,-0.0588307026842948
